item id,item title,attachment id,attachment label,attachment title,attachment type,attachment description,attachment date,attachment contributors,attachment subjects,attachment series,attachment extent,attachment notes,attachment citation,attachment language,attachment identifier,attachment file access,attachment derivative access,attachment md,file id,file access count,file created,file location,file checksum,file mime,file original_filename,file size,file url,file checksum
15640,Coupled Models for Coupled Systems: Land-Use and Landscape Dynamics in the Mediterranean,96547,Barton etal AAG 2010,,,,,,,,,,,,,1,1,"{'notes': [], 'description': [], 'type': [], 'series': [], 'language': [], 'subject': [], 'title': [], 'citation': [], 'contributor': [], 'extent': [], 'identifier': []}",64853,3679,2012-12-17 17:14:48.388961+00:00,filestore/fe/39/68/fe3968192543f01a83efa020b1055e3a,fe3968192543f01a83efa020b1055e3a,application/pdf,Barton_etal_AAG_2010.pdf,10908083,/attachments/96547/content/Barton_etal_AAG_2010.pdf,fe3968192543f01a83efa020b1055e3a
15641,"Linking Science, Social Studies, and Sustainability through NSF Research on Mediterranean Landscapes: The Mediterranean Landscape Dynamics Project in Schools",96548,Swantek McGraw NSTA 2009,,,,,,,,,,,,,1,1,"{'notes': [], 'description': [], 'type': [], 'series': [], 'language': [], 'subject': [], 'title': [], 'citation': [], 'contributor': [], 'extent': [], 'identifier': []}",64854,826,2012-12-17 17:24:00.811913+00:00,filestore/cb/6c/cc/cb6cccdf2c8c03fbd074c72f5fde9122,cb6cccdf2c8c03fbd074c72f5fde9122,application/pdf,Swantek_McGraw_NSTA_2009.pdf,3271944,/attachments/96548/content/Swantek_McGraw_NSTA_2009.pdf,cb6cccdf2c8c03fbd074c72f5fde9122
15642,"Land-Use, Water, and Mediterranean Landscapes: Modeling Long-Term Dynamics of Complex Socioecological Systems",96549,Barton LWML 2009,,,,,,,,,,,,,1,1,"{'notes': [], 'description': [], 'type': [], 'series': [], 'language': [], 'subject': [], 'title': [], 'citation': [], 'contributor': [], 'extent': [], 'identifier': []}",64855,738,2012-12-17 17:26:33.392895+00:00,filestore/4a/1f/9f/4a1f9fc99ab38f3ece04abc045d377bc,4a1f9fc99ab38f3ece04abc045d377bc,application/pdf,Barton_LWML2009.pdf,5776748,/attachments/96549/content/Barton_LWML2009.pdf,4a1f9fc99ab38f3ece04abc045d377bc
15643,A Coupled ABM-GIS Model of Small-Scale Farming,96550,Bergin Ullah Mayer 2009,,,,,,,,,,,,,1,1,"{'notes': [], 'description': [], 'type': [], 'series': [], 'language': [], 'subject': [], 'title': [], 'citation': [], 'contributor': [], 'extent': [], 'identifier': []}",64856,856,2012-12-17 17:46:20.754284+00:00,filestore/dd/7d/ed/dd7ded83baad49bd2552e3a9033a5709,dd7ded83baad49bd2552e3a9033a5709,application/pdf,Bergin_Ullah_Mayer_2009.pdf,7402905,/attachments/96550/content/Bergin_Ullah_Mayer_2009.pdf,dd7ded83baad49bd2552e3a9033a5709
15644,Neolithic Survivor: The Mediterranean Landscape Dynamics Project in the Classroom,96551,McGraw Swantek 2009,,,,,,,,,,,,,1,1,"{'notes': [], 'description': [], 'type': [], 'series': [], 'language': [], 'subject': [], 'title': [], 'citation': [], 'contributor': [], 'extent': [], 'identifier': []}",64857,697,2012-12-17 18:01:55.990939+00:00,filestore/28/c7/7a/28c77a90ca86399d58c1dfc9bb3158fa,28c77a90ca86399d58c1dfc9bb3158fa,application/pdf,McGraw_Swantek_2009.pdf,2451466,/attachments/96551/content/McGraw_Swantek_2009.pdf,28c77a90ca86399d58c1dfc9bb3158fa
15646,Climate Change and Socioecological Dynamics in Eastern Spain,96552,Miller etal SAA 2008,,,,,,,,,,,,,1,1,"{'notes': [], 'description': [], 'type': [], 'series': [], 'language': [], 'subject': [], 'title': [], 'citation': [], 'contributor': [], 'extent': [], 'identifier': []}",64858,494,2012-12-17 18:19:25.323803+00:00,filestore/38/c2/83/38c283ef8709893be5ccfa66c0690481,38c283ef8709893be5ccfa66c0690481,application/pdf,Miller_etal_SAA2008.pdf,8604527,/attachments/96552/content/Miller_etal_SAA2008.pdf,38c283ef8709893be5ccfa66c0690481
15647,Land Cover Change in the Southern Levant: 1973 to 2007,96553,soto etal ASPRS 2007,,,,,,,,,,,,,1,1,"{'notes': [], 'description': [], 'type': [], 'series': [], 'language': [], 'subject': [], 'title': [], 'citation': [], 'contributor': [], 'extent': [], 'identifier': []}",64859,305,2012-12-17 18:32:59.108020+00:00,filestore/88/18/c0/8818c0e9c94a68a5bae01bf953091f09,8818c0e9c94a68a5bae01bf953091f09,application/pdf,soto_etal_ASPRS2007.pdf,4375232,/attachments/96553/content/soto_etal_ASPRS2007.pdf,8818c0e9c94a68a5bae01bf953091f09
15648,Complexities of Simulating a Hybrid Agent-Landscape Model using Multi-Formalism Composability,96554,mayer sarjoughian SpringSim 2007,,,,,,,,,,,,,1,1,"{'notes': [], 'description': [], 'type': [], 'series': [], 'language': [], 'subject': [], 'title': [], 'citation': [], 'contributor': [], 'extent': [], 'identifier': []}",64860,377,2012-12-17 18:37:11.778834+00:00,filestore/3b/a8/e4/3ba8e47fca8fc18cf8f5d1173e2cedd7,3ba8e47fca8fc18cf8f5d1173e2cedd7,application/pdf,mayer&sarjoughian_SpringSim2007.pdf,566725,/attachments/96554/content/mayer&sarjoughian_SpringSim2007.pdf,3ba8e47fca8fc18cf8f5d1173e2cedd7
15649,Domain-Specific Agent Modeling with SESM,96555,gundlach sarjoughian ASU 2007,,,,,,,,,,,,,1,1,"{'notes': [], 'description': [], 'type': [], 'series': [], 'language': [], 'subject': [], 'title': [], 'citation': [], 'contributor': [], 'extent': [], 'identifier': []}",64861,326,2012-12-17 18:41:14.862159+00:00,filestore/6a/39/3f/6a393fccd6f80da45f52b2d099b52731,6a393fccd6f80da45f52b2d099b52731,application/pdf,gundlach&sarjoughian_ASU2007.pdf,93708,/attachments/96555/content/gundlach&sarjoughian_ASU2007.pdf,6a393fccd6f80da45f52b2d099b52731
15652,Simulating Human Agropastoral Activities Using Hybrid Agent-Landscape Modeling: A Multidisciplinary Approach,96564,sarjoughian etal ASU 2006,,,,,,,,,,,,,1,1,"{'notes': [], 'description': [], 'type': [], 'series': [], 'language': [], 'subject': [], 'title': [], 'citation': [], 'contributor': [], 'extent': [], 'identifier': []}",64866,281,2012-12-17 18:52:06.909920+00:00,filestore/bf/e3/ec/bfe3ec407a68597dcd3fdd1db5cf189c,bfe3ec407a68597dcd3fdd1db5cf189c,application/pdf,sarjoughian_etal_ASU2006.pdf,273896,/attachments/96564/content/sarjoughian_etal_ASU2006.pdf,bfe3ec407a68597dcd3fdd1db5cf189c
15655,Modeling of Agropastoral Human Activities Using Agent-Based Simulation,96607,allen etal SAA 2006,,,,,,,,,,,,,1,1,"{'notes': [], 'description': [], 'type': [], 'series': [], 'language': [], 'subject': [], 'title': [], 'citation': [], 'contributor': [], 'extent': [], 'identifier': []}",64891,812,2012-12-17 21:17:39.234090+00:00,filestore/a0/f1/59/a0f15965ca5b9d71990608344a93bf63,a0f15965ca5b9d71990608344a93bf63,application/pdf,allen_etal_SAA2006.pdf,750632,/attachments/96607/content/allen_etal_SAA2006.pdf,a0f15965ca5b9d71990608344a93bf63
15656,Integrating Spatial and Temporal Dynamics in Ecological Modeling: Issues and Directions,96608,barton NSF-ESF 2005,,,,,,,,,,,,,1,1,"{'notes': [], 'description': [], 'type': [], 'series': [], 'language': [], 'subject': [], 'title': [], 'citation': [], 'contributor': [], 'extent': [], 'identifier': []}",64892,412,2012-12-17 21:21:02.035309+00:00,filestore/cd/ec/1c/cdec1cb138ec1a79a75597bea74604e4,cdec1cb138ec1a79a75597bea74604e4,application/pdf,barton_NSF-ESF2005.pdf,7975003,/attachments/96608/content/barton_NSF-ESF2005.pdf,cdec1cb138ec1a79a75597bea74604e4
18484,Simulating the long-term effects of agropastoral landuse decisions: a computational modeling approach to the Prepottery/Pottery Neolithic transition in northern Jordan,112036,Ullah_Presentation_SAA_2012.pdf,,,,,,,,,,,,,1,1,"{'notes': [], 'description': [], 'type': [], 'series': [], 'language': [], 'subject': [], 'title': [], 'citation': [], 'contributor': [], 'extent': [], 'identifier': []}",84008,1147,2013-09-09 18:12:37.722326+00:00,filestore/69/2b/0f/692b0f06d8688f2acd00c587deaa0b51,692b0f06d8688f2acd00c587deaa0b51,application/pdf,Ullah_Presentation_SAA_2012.pdf,15416331,/attachments/112036/content/Ullah_Presentation_SAA_2012.pdf,692b0f06d8688f2acd00c587deaa0b51
15645,From Narratives to Algorithms: Extending Archaeological Explanation beyond Archaeology,112038,Barton2009.pdf,,,,,,,,,,,,,1,1,"{'notes': [], 'description': [], 'type': [], 'series': [], 'language': [], 'subject': [], 'title': [], 'citation': [], 'contributor': [], 'extent': [], 'identifier': []}",84010,536,2013-09-09 18:24:52.343730+00:00,filestore/7b/61/51/7b61518c780d5ff5e0d597758a0225f0,7b61518c780d5ff5e0d597758a0225f0,application/pdf,Barton2009.pdf,831400,/attachments/112038/content/Barton2009.pdf,7b61518c780d5ff5e0d597758a0225f0
18486,Paleoclimate Modeling and the Drivers of Early Neolithic Expansion in Mediterranean Europe,112039,Bergin_Miller_SAA_2009.pdf,,,,,,,,,,,,,1,1,"{'notes': [], 'description': [], 'type': [], 'series': [], 'language': [], 'subject': [], 'title': [], 'citation': [], 'contributor': [], 'extent': [], 'identifier': []}",84011,1283,2013-09-09 18:32:02.918950+00:00,filestore/05/c6/15/05c615548e581f005407e08b4e32db17,05c615548e581f005407e08b4e32db17,application/pdf,Bergin_Miller_SAA_2009.pdf,15692058,/attachments/112039/content/Bergin_Miller_SAA_2009.pdf,05c615548e581f005407e08b4e32db17
18487,Computational Modeling for Socioecological Systems Science,112040,Barton_NIH2008.pdf,,,,,,,,,,,,,1,1,"{'notes': [], 'description': [], 'type': [], 'series': [], 'language': [], 'subject': [], 'title': [], 'citation': [], 'contributor': [], 'extent': [], 'identifier': []}",84012,998,2013-09-09 18:37:32.957971+00:00,filestore/64/16/99/6416997111590bf42a1e3f69f4186b3a,6416997111590bf42a1e3f69f4186b3a,application/pdf,Barton_NIH2008.pdf,5401562,/attachments/112040/content/Barton_NIH2008.pdf,6416997111590bf42a1e3f69f4186b3a
