vid,code,url,name
identifier_types,picnypl,http://pic.nypl.org/,PIC - Photographers' Identities Catalog (New York Public Library) 
identifier_types,pleiades,https://pleiades.stoa.org/,Pleiades: a gazetteer of past places 
identifier_types,pnta,http://data.bibliotheken.nl/id/dataset/persons,Personen uit de Nederlandse Thesaurus van Auteursnamen 
identifier_types,porthu,http://port.hu/,PORT.hu 
identifier_types,prabook,http://prabook.com/web/home.html,Prabook 
identifier_types,rbmsbt,http://rbms.info/vocabularies/binding/alphabetical_list.htm,"RBMS Controlled Vocabularies: Binding Terms (Rare Books and Manuscripts Section, Association of College & Research Libraries) "
identifier_types,rbmsgt,http://rbms.info/vocabularies/genre/alphabetical_list.htm,"RBMS Controlled Vocabularies: Genre Terms (Rare Books and Manuscripts Section, Association of College & Research Libraries) "
identifier_types,rbmspe,http://rbms.info/vocabularies/provenance/alphabetical_list.htm,"RBMS Controlled Vocabularies: Provenance Evidence Terms (Rare Books and Manuscripts Section, Association of College & Research Libraries) "
identifier_types,rbmsppe,http://rbms.info/vocabularies/printing-publishing/alphabetical_list.htm,"RBMS Controlled Vocabularies: Printing and Publishing Terms (Rare Books and Manuscripts Section, Association of College & Research Libraries) "
identifier_types,rbmspt,http://rbms.info/vocabularies/paper/alphabetical_list.htm,"RBMS Controlled Vocabularies: Paper Terms (Rare Books and Manuscripts Section, Association of College & Research Libraries) "
identifier_types,rbmsrd,http://rbms.info/vocabularies/relators/alphabetical_list.htm,"RBMS Controlled Vocabularies: Relationship Designators (Rare Books and Manuscripts Section, Association of College & Research Libraries) "
identifier_types,rbmste,http://rbms.info/vocabularies/type/alphabetical_list.htm,"RBMS Controlled Vocabularies: Type Evidence (Rare Books and Manuscripts Section, Association of College & Research Libraries) "
identifier_types,rid,http://www.researcherid.com/Home.action,ResearcherID (Thomson Reuters) 
identifier_types,rkda,https://rkd.nl/en/explore/artists,RKDartists& (Den Haag: Rijksbureau voor Kunsthistorische Documentatie) 
identifier_types,s2a3bd,http://www.s2a3.org.za/bio/Main.php,S2A3 Biographical Database of Southern African Science 
identifier_types,saam,https://americanart.si.edu/art,Smithsonian American Art Museum (Washington DC: Smithsonian Institution) 
identifier_types,scholaru,http://www.scholaruniverse.com/,Scholar Universe 
identifier_types,scope,http://www.scope.dk/,Scope 
identifier_types,scopus,http://www.scopus.com/,Scopus Author Identifier 
identifier_types,sici,,Serial Item and Contribution Identifier
identifier_types,smgp,https://collection.sciencemuseumgroup.org.uk/search/people,Science Museum Group People 
identifier_types,snac,http://socialarchive.iath.virginia.edu/snac/search,Social Networks and Archival Context 
identifier_types,spotify,https://open.spotify.com/,Spotify 
identifier_types,sprfbsb,http://www.baseball-reference.com/,Sports Reference: Baseball 
identifier_types,sprfbsk,http://www.basketball-reference.com/,Sports Reference: Basketball 
identifier_types,sprfcbb,http://www.sports-reference.com/cbb/,Sports Reference: College Basketball 
identifier_types,sprfcfb,http://www.sports-reference.com/cfb/,Sports Reference: College Football 
identifier_types,sprfhoc,http://www.hockey-reference.com/,Sports Reference: Hockey 
identifier_types,sprfoly,http://www.sports-reference.com/olympics/,Sports Reference: Olympic Sports 
identifier_types,sprfpfb,http://www.pro-football-reference.com/,Sports Reference: Pro Football 
identifier_types,ssaut,https://www.semanticscholar.org/,Semantic Scholar (Author) 
identifier_types,stock-number,,"Publisher, distributor, or vendor stock number"
identifier_types,strn,,Standard Technical Report Number
identifier_types,stw,http://zbw.eu/stw/version/latest/about,Standard-Thesaurus Wirtschaft = STW thesaurus for economics 
identifier_types,svfilm,http://www.sfi.se/sv/svensk-filmdatabas/,Svensk Filmdatabas 
identifier_types,tatearid,http://www.tate.org.uk/art/,Tate Artist Identifier 
identifier_types,theatr,http://theatricalia.com/,Theatricalia 
identifier_types,trove,http://trove.nla.gov.au/,Trove (National Library of Australia) 
identifier_types,unescot,http://vocabularies.unesco.org/browser/thesaurus/en/,UNESCO thesaurus = Thésaurus de l'UNESCO = Tesauro de la UNESCO (Paris: UNESCO Publishing) 
identifier_types,upc,,Universal Product Code
identifier_types,uri,,Uniform Resource Identifier
identifier_types,urn,,Uniform Resource Name
identifier_types,vd16,https://www.bsb-muenchen.de/kompetenzzentren-und-landesweite-dienste/kompetenzzentren/vd-16/,Verzeichnis der Drucke des 16. Jahrhunderts 
identifier_types,vd17,http://www.vd17.de/,Verzeichnis der Drucke des 17. Jahrhunderts 
identifier_types,vd18,https://gso.gbv.de/DB=1.65/,Verzeichnis der Drucke des 18. Jahrhunderts 
identifier_types,vgmdb,https://vgmdb.net/db/artists.php,VGMdb artists 
identifier_types,viaf,http://www.oclc.org/research/activities/viaf/,Virtual International Authority File number 
identifier_types,videorecording-identifier,,Publisher-assigned videorecording number
identifier_types,wikidata,https://www.wikidata.org/wiki,Wikidata (Wikimedia Foundation) 
identifier_types,wndla,http://id.ndl.go.jp/auth/ndlna,Web NDL Authorities (Tokyo: National Diet Library (NDL)) 
identifier_types,xgamea,http://xgames.espn.com/xgames/athletes/,X Games Athletes 
identifier_types,zbaut,http://zoobank.org/,ZooBank (Authors) 
